our_color,our_rating,opp_rating,rating_diff,time_class,eco,opening_family,move_count,outcome
white,550,498,52,rapid,B20,Sicilian,265,1.0
white,542,555,-13,rapid,B00,Owens,136,0.0
black,550,520,30,rapid,A00,Kings,134,1.0
white,558,544,14,rapid,C50,Italian,20,1.0
black,566,563,3,rapid,B02,Alekhines,45,1.0
white,558,561,-3,rapid,C44,Ponziani,141,0.0
black,550,567,-17,rapid,D00,Queens,109,0.0
white,550,534,16,rapid,C40,Kings,183,0.5
black,550,419,131,rapid,C26,Vienna,44,1.0
black,543,645,-102,rapid,B00,Nimzowitsch,35,0.0
white,550,506,44,rapid,C00,French,91,1.0
white,559,600,-41,rapid,B07,Pirc,76,1.0
black,565,462,103,rapid,B02,Alekhines,26,1.0
white,558,630,-72,rapid,C20,Kings,98,0.0
black,558,416,142,rapid,B02,Alekhines,147,0.5
white,563,411,152,rapid,C45,Scotch,149,1.0
black,555,558,-3,rapid,B02,Alekhines,111,0.0
white,547,583,-36,rapid,C42,Petrovs,178,0.0
white,537,483,54,rapid,C00,French,172,0.0
black,546,566,-20,rapid,A40,Queens,69,1.0
black,538,562,-24,rapid,B02,Alekhines,97,0.0
white,546,511,35,rapid,C40,Kings,16,1.0
white,554,555,-1,rapid,B00,Kings,8,1.0
white,554,554,0,rapid,C44,Ponziani,76,0.5
black,564,644,-80,rapid,A00,Undefined,6,1.0
white,555,512,43,rapid,C44,Kings,150,0.0
black,563,534,29,rapid,C62,Ruy,161,1.0
white,570,498,72,rapid,B00,Kings,86,1.0
black,563,631,-68,rapid,B02,Alekhines,78,0.0
black,555,571,-16,rapid,B02,Alekhines,283,0.0
white,553,482,71,rapid,C45,Scotch,388,0.5
black,546,664,-118,rapid,C26,Vienna,183,0.0
white,536,468,68,rapid,B01,Scandinavian,127,0.0
black,542,433,109,rapid,B02,Alekhines,120,1.0
white,533,536,-3,rapid,C41,Philidor,143,0.0
white,542,569,-27,rapid,B01,Scandinavian,210,1.0
black,535,571,-36,rapid,A00,Kings,154,0.0
black,542,499,43,rapid,B02,Alekhines,61,1.0
white,544,617,-73,rapid,B00,Kings,209,0.5
black,551,474,77,rapid,D07,Queens,22,1.0
white,543,539,4,rapid,C02,French,174,0.0
white,553,585,-32,rapid,C55,Italian,60,1.0
black,551,459,92,rapid,C00,French,256,0.5
white,543,559,-16,rapid,B01,Scandinavian,265,0.0
black,552,558,-6,rapid,B02,Alekhines,185,1.0
black,560,447,113,rapid,C01,French,294,1.0
white,552,547,5,rapid,C50,Italian,130,0.0
white,544,619,-75,rapid,C20,Kings,276,0.0
white,554,627,-73,rapid,B00,Kings,8,1.0
black,562,548,14,rapid,B02,Alekhines,149,1.0
black,557,683,-126,rapid,A00,Van,131,0.0
white,564,508,56,rapid,C20,Kings,24,1.0
black,563,512,51,rapid,A00,Van,218,0.5
black,558,697,-139,rapid,A40,Queens,101,0.0
white,549,508,41,rapid,B02,Alekhines,187,0.0
black,541,556,-15,rapid,B02,Alekhines,114,0.0
white,532,520,12,rapid,B01,Scandinavian,20,0.0
white,540,485,55,rapid,C46,Three,264,1.0
white,540,552,-12,rapid,C55,Italian,214,0.5
